"SETTLEMENTDATE","RUNNO","REGIONID","PERIODID","RRP","EEP","INVALIDFLAG","LASTCHANGED","ROP","RAISE6SECRRP","RAISE6SECROP","RAISE60SECRRP","RAISE60SECROP","RAISE5MINRRP","RAISE5MINROP","RAISEREGRRP","RAISEREGROP","LOWER6SECRRP","LOWER6SECROP","LOWER60SECRRP","LOWER60SECROP","LOWER5MINRRP","LOWER5MINROP","LOWERREGRRP","LOWERREGROP","PRICE_STATUS"
"1998-11-21 12:30:00",1,"SNOWY1",25,12.55000,0.00000,,"1998-11-21 12:25:06",12.55263,,,,,,,,,,,,,,,,,
"1998-11-21 12:30:00",1,"VIC1",25,12.02000,0.00000,,"1998-11-21 12:25:06",12.01666,,,,,,,,,,,,,,,,,
"1998-11-21 13:00:00",1,"NSW1",26,21.00000,0.00000,,"1998-11-21 12:55:06",20.99908,,,,,,,,,,,,,,,,,
"1998-11-21 13:00:00",1,"QLD1",26,22.77000,0.00000,,"1998-11-21 12:55:06",22.76833,,,,,,,,,,,,,,,,,
"1998-11-21 13:00:00",1,"SA1",26,21.44000,0.00000,,"1998-11-21 12:55:06",21.43666,,,,,,,,,,,,,,,,,
"1998-11-21 13:00:00",1,"SNOWY1",26,19.48000,0.00000,,"1998-11-21 12:55:06",19.47504,,,,,,,,,,,,,,,,,
"1998-11-21 13:00:00",1,"VIC1",26,17.98000,0.00000,,"1998-11-21 12:55:06",17.98158,,,,,,,,,,,,,,,,,
"1998-11-21 13:30:00",1,"NSW1",27,54.81000,0.00000,,"1998-11-21 13:25:06",54.81500,,,,,,,,,,,,,,,,,
"1998-11-21 13:30:00",1,"QLD1",27,23.57000,0.00000,,"1998-11-21 13:25:06",23.56834,,,,,,,,,,,,,,,,,
"1998-11-21 13:30:00",1,"SA1",27,54.56000,0.00000,,"1998-11-21 13:25:06",54.55785,,,,,,,,,,,,,,,,,
"1998-11-21 13:30:00",1,"SNOWY1",27,50.04000,0.00000,,"1998-11-21 13:25:06",50.03870,,,,,,,,,,,,,,,,,
"1998-11-21 13:30:00",1,"VIC1",27,45.68000,0.00000,,"1998-11-21 13:25:06",45.68076,,,,,,,,,,,,,,,,,
"1998-11-21 14:00:00",1,"NSW1",28,50.11000,0.00000,,"1998-11-21 13:55:06",50.11407,,,,,,,,,,,,,,,,,
